source_id,answer,clue,part_of_speech,length,quality,dictionary_bits,review_decision,review_notes
"wn30:00052374-v","wear","be dressed in","verb","4","95","3","",""
"wn30:08365855-n","communism","a form of socialism that abolishes private ownership","noun","9","95","3","",""
"wn30:00805376-v","agree","be in accord; be in agreement","verb","5","95","3","",""
"wn30:00036291-r","somewhat","to a small degree or extent","adverb","8","95","3","",""
"wn30:01999798-v","lead","take somebody somewhere","verb","4","95","3","",""
"wn30:04194289-n","ship","a vessel that carries passengers or freight","noun","4","95","3","",""
"wn30:01010118-v","declare","state emphatically and authoritatively","verb","7","95","3","",""
"wn30:10129825-n","girl","a young woman","noun","4","95","3","",""
"wn30:01824736-v","like","prefer or wish to do something","verb","4","95","3","",""
"wn30:02804590-a","suburban","relating to or characteristic of or situated in suburbs","adjective","8","95","3","",""
"wn30:10150940-n","guest","a visitor to whom hospitality is extended","noun","5","95","3","",""
"wn30:00249501-n","progress","gradual improvement or growth or development","noun","8","95","3","",""
"wn30:01332730-v","cover","provide with a covering or cause to be covered","verb","5","95","3","",""
"wn30:14410605-n","problem","a state of difficulty that needs to be resolved","noun","7","95","3","",""
"wn30:00007846-n","individual","a human being","noun","10","95","3","",""
"wn30:02869563-a","visual","relating to or using sight","adjective","6","95","3","",""
"wn30:05805475-n","understanding","the cognitive condition of someone who understands","noun","13","95","3","",""
"wn30:03001627-n","chair","a seat for one person, with a support for the back","noun","5","95","3","",""
"wn30:01494310-v","lay","put into a certain place or abstract location","verb","3","95","3","",""
"wn30:00102736-r","first","before anything else","adverb","5","95","3","",""
"wn30:02699497-v","represent","take the place of or be parallel or equivalent to","verb","9","95","3","",""
"wn30:06755947-n","provision","a stipulated condition","noun","9","95","3","",""
"wn30:05218119-n","corpse","the dead body of a human being","noun","6","95","3","",""
"wn30:02620587-v","constitute","form or compose","verb","10","95","3","",""
"wn30:00035718-r","pretty","to a moderately sufficient extent or degree","adverb","6","95","3","",""
"wn30:02050132-v","pass","go across or through","verb","4","95","3","",""
"wn30:01143279-a","sudden","happening without warning or in a short space of time","adjective","6","95","3","",""
"wn30:13994148-n","independence","freedom from control or influence of another or others","noun","12","95","3","",""
"wn30:05939636-n","illusion","an erroneous mental representation","noun","8","95","3","",""
"wn30:00071165-r","around","in the area or vicinity","adverb","6","95","3","",""
"wn30:00636888-v","base","use as a basis for; found on","verb","4","95","3","",""
"wn30:08256968-n","party","an organization to gain political power","noun","5","95","3","",""
"wn30:02130524-v","look","perceive with attention; direct one's gaze towards","verb","4","95","3","",""
"wn30:01826498-v","prefer","like better; value more highly","verb","6","95","3","",""
"wn30:02242464-v","sell","exchange or deliver for money or its equivalent","verb","4","95","3","",""
"wn30:04748836-n","difference","the quality of being unlike or dissimilar","noun","10","95","3","",""
"wn30:02327200-v","supply","give something useful or necessary to","verb","6","95","3","",""
"wn30:13941125-n","extent","the point or degree to which something extends","noun","6","95","3","",""
"wn30:00889831-a","equal","having the same quantity, value, or measure as another","adjective","5","95","3","",""
"wn30:02436349-v","handle","be in charge of, act on, or dispose of","verb","6","95","3","",""
"wn30:00765649-v","urge","force or impel in an indicated direction","verb","4","95","3","",""
"wn30:02452885-v","prevent","keep from happening or arising; make impossible","verb","7","95","3","",""
"wn30:02071420-a","similar","marked by correspondence or resemblance","adjective","7","95","3","",""
"wn30:02132745-v","gaze","look at with fixed eyes","verb","4","95","3","",""
"wn30:00948071-v","count","determine the number or amount of","verb","5","95","3","",""
"wn30:02074677-v","escape","run away from confinement","verb","6","95","3","",""
"wn30:01220984-n","behavior","manner of acting or controlling yourself","noun","8","95","3","",""
"wn30:00146387-r","ever","at any time","adverb","4","95","3","",""
"wn30:00973077-n","war","the waging of armed conflict against an enemy","noun","3","95","3","",""
"wn30:15262921-n","today","the present time or age","noun","5","95","3","",""
"wn30:01083157-a","full","containing as much or as many as is possible or normal","adjective","4","95","3","",""
"wn30:02641035-v","pause","interrupt temporarily an activity before continuing","verb","5","95","3","",""
"wn30:01125429-a","bad","having undesirable or negative qualities","adjective","3","95","3","",""
"wn30:02460502-a","true","consistent with fact or reality; not false","adjective","4","95","3","",""
"wn30:02560585-v","make","engage in","verb","4","95","3","",""
"wn30:01343918-a","interesting","arousing or holding the attention","adjective","11","95","3","",""
"wn30:00791227-a","dominant","exercising influence or control","adjective","8","95","3","",""
"wn30:13957601-n","presence","the state of being present; current existence","noun","8","95","3","",""
"wn30:00772189-v","argue","present reasons and arguments","verb","5","95","3","",""
"wn30:09917593-n","kid","a young person of either sex","noun","3","95","3","",""
"wn30:08179879-n","population","the people who inhabit a territory or state","noun","10","95","3","",""
"wn30:01654628-v","build","make by combining materials and parts","verb","5","95","3","",""
"wn30:02316868-v","give","cause to have, in the abstract sense or physical sense","verb","4","95","3","",""
"wn30:00683280-v","believe","accept as true; take to be true","verb","7","95","3","",""
"wn30:09466280-n","world","everything that exists anywhere","noun","5","95","3","",""
"wn30:01974062-v","lift","raise from a lower to a higher position","verb","4","95","3","",""
"wn30:00039297-n","contact","close interaction","noun","7","95","3","",""
"wn30:01822936-v","care","feel concern or interest","verb","4","95","3","",""
"wn30:02798370-a","social","relating to human society and its members","adjective","6","95","3","",""
"wn30:00174412-n","step","any maneuver made as part of progress toward a goal","noun","4","95","3","",""
"wn30:00816556-v","deny","declare untrue; contradict","verb","4","95","3","",""
"wn30:00026192-n","feeling","the experiencing of affective and emotional states","noun","7","95","3","",""
"wn30:05698247-n","doubt","the state of being unsure of something","noun","5","95","3","",""
"wn30:01940403-v","fly","travel through the air; be airborne","verb","3","95","3","",""
"wn30:02143283-v","reveal","make visible","verb","6","95","3","",""
"wn30:06286395-n","word","a unit of language that native speakers can identify","noun","4","95","3","",""
"wn30:02632167-v","possess","have as an attribute, knowledge, or skill","verb","7","95","3","",""
"wn30:14915184-n","ice","water frozen in the solid state","noun","3","95","3","",""
"wn30:00583246-n","career","the particular occupation for which you are trained","noun","6","95","3","",""
"wn30:00085811-r","quickly","with rapid movements","adverb","7","95","3","",""
"wn30:01921964-v","climb","go upward with gradual or continuous progress","verb","5","95","3","",""
"wn30:13790912-n","basis","a relation that provides the foundation for something","noun","5","95","3","",""
"wn30:01013367-v","emphasize","to stress, single out as important","verb","9","95","3","",""
"wn30:00903385-v","forgive","stop blaming or grant forgiveness","verb","7","95","3","",""
"wn30:03247620-n","drug","a substance that is used as a medicine or narcotic","noun","4","95","3","",""
"wn30:13331198-n","amount","a quantity of money","noun","6","95","3","",""
"wn30:10009276-n","detective","a police officer who investigates crimes","noun","9","95","3","",""
"wn30:00004722-r","only","and nothing more","adverb","4","95","3","",""
"wn30:00300247-r","perhaps","by chance","adverb","7","95","3","",""
"wn30:00958334-v","repeat","to say, state, or perform again","verb","6","95","3","",""
"wn30:08226699-n","village","a community of people smaller than a town","noun","7","95","3","",""
"wn30:01009240-v","tell","express in words","verb","4","95","3","",""
"wn30:07191279-n","demand","an urgent or peremptory request","noun","6","95","3","",""
"wn30:10622053-n","soldier","an enlisted man or woman who serves in an army","noun","7","95","3","",""
"wn30:00111609-r","most","used to form the superlative","adverb","4","95","3","",""
"wn30:01774136-v","hate","dislike intensely; feel antipathy or aversion towards","verb","4","95","3","",""
"wn30:02148788-v","demonstrate","give an exhibition of to an interested audience","verb","11","95","3","",""
"wn30:15137890-n","vacation","leisure time away from work devoted to rest or pleasure","noun","8","95","3","",""
"wn30:01378556-v","spread","distribute or disperse widely","verb","6","95","3","",""
"wn30:00610538-v","remind","put in the mind of someone","verb","6","95","3","",""
"wn30:02057829-a","safe","free from danger or the risk of harm","adjective","4","95","3","",""
"wn30:02554922-v","encourage","contribute to the progress or growth of","verb","9","95","3","",""
"wn30:01168468-v","eat","take in solid food","verb","3","95","3","",""
"wn30:09947232-n","composer","someone who composes music as a profession","noun","8","95","3","",""
"wn30:00063172-r","instead","in place of, or as an alternative to","adverb","7","95","3","",""
"wn30:00705227-v","plan","have the will and intention to carry out some action","verb","4","95","3","",""
"wn30:03932203-n","piece","a separate part of a whole","noun","5","95","3","",""
"wn30:00690614-v","regard","deem to be","verb","6","95","3","",""
"wn30:00056539-r","greatly","to an extraordinary extent or degree","adverb","7","95","3","",""
"wn30:00575741-n","work","activity directed toward making or doing something","noun","4","95","3","",""
"wn30:10259348-n","lieutenant","a commissioned military officer","noun","10","95","3","",""
"wn30:02633881-v","prove","be shown or be found to be","verb","5","95","3","",""
"wn30:03525454-n","holder","a holding device","noun","6","95","3","",""
"wn30:01173038-n","blow","a powerful stroke with the fist or a weapon","noun","4","95","3","",""
"wn30:00987071-v","describe","give a description of","verb","8","95","3","",""
"wn30:08569998-n","field","a piece of land cleared of trees and usually enclosed","noun","5","95","3","",""
"wn30:05289297-n","muscle","one of the contractile organs of the body","noun","6","95","3","",""
"wn30:02524171-v","succeed","attain success or reach a desired goal","verb","7","95","3","",""
"wn30:00725274-v","surprise","cause to be surprised","verb","8","95","3","",""
"wn30:02529945-a","cool","neither warm nor very cold; giving relief from heat","adjective","4","95","3","",""
"wn30:00818974-v","insist","be emphatic or resolute and refuse to budge","verb","6","95","3","",""
"wn30:01638368-v","design","make or work out a plan for; devise","verb","6","95","3","",""
"wn30:00079499-r","tonight","during the night of the present day","adverb","7","95","3","",""
"wn30:11669921-n","flower","a plant cultivated for its blooms or blossoms","noun","6","95","3","",""
"wn30:00137313-v","affect","have an effect upon","verb","6","95","3","",""
"wn30:00597915-v","learn","gain knowledge or skills","verb","5","95","3","",""
"wn30:02830501-a","literary","of or relating to or characteristic of literature","adjective","8","95","3","",""
"wn30:00004722-r","simply","and nothing more","adverb","6","95","3","",""
"wn30:15286249-n","rate","a magnitude or frequency relative to a time unit","noun","4","95","3","",""
"wn30:01826723-v","hope","expect and wish","verb","4","95","3","",""
"wn30:01866192-v","roll","move by turning over or rotating","verb","4","95","3","",""
"wn30:00921300-v","indicate","be a signal for or a symptom of","verb","8","95","3","",""
"wn30:11508092-n","smoke","a cloud of fine particles suspended in a gas","noun","5","95","3","",""
"wn30:00035189-n","achievement","the action of accomplishing something","noun","11","95","3","",""
"wn30:01821266-a","possible","capable of happening or existing","adjective","8","95","3","",""
"wn30:15120823-n","past","the time that has elapsed","noun","4","95","3","",""
"wn30:00512877-v","enable","render capable or able for some task","verb","6","95","3","",""
"wn30:10694258-n","teacher","a person whose occupation is teaching","noun","7","95","3","",""
"wn30:00031798-r","already","prior to a specified or implied time","adverb","7","95","3","",""
"wn30:00644503-n","study","a detailed critical inspection","noun","5","95","3","",""
"wn30:13810818-n","rest","something left after other parts have been taken away","noun","4","95","3","",""
"wn30:00455599-n","game","a contest with rules to determine a winner","noun","4","95","3","",""
"wn30:05637558-n","skill","an ability that has been acquired by training","noun","5","95","3","",""
"wn30:02240481-v","seek","try to get or reach","verb","4","95","3","",""
"wn30:00870213-v","warn","notify of danger, potential harm, or risk","verb","4","95","3","",""
"wn30:00156601-v","increase","become bigger or greater in amount","verb","8","95","3","",""
"wn30:00426958-v","disappear","get lost, as without warning or explanation","verb","9","95","3","",""
"wn30:01101391-a","general","applying to all or most members of a category or group","adjective","7","95","3","",""
"wn30:00145571-r","sufficiently","to a sufficient degree","adverb","12","95","3","",""
"wn30:00791078-n","trial","the act of testing something","noun","5","95","3","",""
"wn30:01009240-v","state","express in words","verb","5","95","3","",""
"wn30:01212469-a","low","less than normal in degree or intensity or amount","adjective","3","95","3","",""
"wn30:08266235-n","table","a set of data arranged in rows and columns","noun","5","95","3","",""
"wn30:01137138-v","shoot","hit with a missile from a weapon","verb","5","95","3","",""
"wn30:07319103-n","success","an event that accomplishes its intended purpose","noun","7","95","3","",""
"wn30:02064745-a","different","unlike in nature or quality or form or degree","adjective","9","95","3","",""
"wn30:00690614-v","consider","deem to be","verb","8","95","3","",""
"wn30:00183053-a","available","obtainable or accessible and ready for use or service","adjective","9","95","3","",""
"wn30:00250259-n","development","act of improving by expanding or enlarging or refining","noun","11","95","3","",""
"wn30:05671325-n","matter","a vaguely specified concern","noun","6","95","3","",""
"wn30:05809745-n","tradition","an inherited pattern of thought or action","noun","9","95","3","",""
"wn30:08276720-n","school","an educational institution","noun","6","95","3","",""
"wn30:02677097-v","involve","connect closely and often incriminatingly","verb","7","95","3","",""
"wn30:00149510-r","actually","in actual fact","adverb","8","95","3","",""
"wn30:02445509-v","conduct","direct the course of; manage or control","verb","7","95","3","",""
"wn30:00031820-v","laugh","produce laughter","verb","5","95","3","",""
"wn30:00039941-r","apparently","from appearances alone","adverb","10","95","3","",""
"wn30:13720096-n","pound","16 ounces avoirdupois","noun","5","95","3","",""
"wn30:02646378-v","deserve","be worthy or deserving","verb","7","95","3","",""
"wn30:08209687-n","police","the force of policemen and officers","noun","6","95","3","",""
"wn30:02488834-v","marry","take in marriage","verb","5","95","3","",""
"wn30:00625119-v","read","interpret something that is written or printed","verb","4","95","3","",""
"wn30:10372373-n","official","a worker who holds or is invested with an office","noun","8","95","3","",""
"wn30:00484166-v","complete","come or bring to a finish or an end","verb","8","95","3","",""
"wn30:07193596-n","question","an instance of questioning","noun","8","95","3","",""
"wn30:00974367-v","announce","make known; make an announcement","verb","8","95","3","",""
"wn30:07308889-n","case","an occurrence of something","noun","4","95","3","",""
"wn30:08430568-n","line","a formation of people or things one beside another","noun","4","95","3","",""
"wn30:05311054-n","eye","the organ of sight","noun","3","95","3","",""
"wn30:01951480-v","send","cause to go somewhere","verb","4","95","3","",""
"wn30:00719734-v","expect","regard something as probable or likely","verb","6","95","3","",""
"wn30:09334396-n","ground","the solid part of the earth's surface","noun","6","95","3","",""
"wn30:05671325-n","affair","a vaguely specified concern","noun","6","95","3","",""
"wn30:02148788-v","present","give an exhibition of to an interested audience","verb","7","95","3","",""
"wn30:00407535-n","activity","any specific behavior","noun","8","95","3","",""
"wn30:01543123-v","sit","be seated","verb","3","95","3","",""
"wn30:03574816-n","instrument","a device that requires skill for proper use","noun","10","95","3","",""
"wn30:00689344-v","think","judge or regard; look upon; judge","verb","5","95","3","",""
"wn30:00912960-n","production","the act or process of producing something","noun","10","95","3","",""
"wn30:02053941-v","approach","move towards","verb","8","95","3","",""
"wn30:00493460-a","individual","being or characteristic of a single thing or person","adjective","10","95","3","",""
"wn30:03619890-n","kitchen","a room equipped for preparing meals","noun","7","95","3","",""
"wn30:02982729-a","hypothalamic","of or relating to the hypothalamus","adjective","12","95","3","",""
"wn30:04924103-n","age","how long something has existed","noun","3","95","3","",""
"wn30:00713167-v","associate","make a logical or causal connection","verb","9","95","3","",""
"wn30:09178999-n","reason","a rational motive for a belief or action","noun","6","95","3","",""
"wn30:02375131-v","engage","carry out or participate in an activity; be involved in","verb","6","95","3","",""
"wn30:13278375-n","payment","a sum of money paid or a claim discharged","noun","7","95","3","",""
"wn30:05190804-n","power","possession of controlling influence","noun","5","95","3","",""
"wn30:07484265-n","desire","the feeling that accompanies an unsatisfied state","noun","6","95","3","",""
"wn30:02296726-v","offer","make available or accessible, provide or furnish","verb","5","95","3","",""
"wn30:01727926-a","past","earlier than the present time; no longer current","adjective","4","95","3","",""
"wn30:00015388-n","animal","a living organism characterized by voluntary movement","noun","6","95","3","",""
"wn30:02204692-v","own","have ownership or possession of","verb","3","95","3","",""
"wn30:10780632-n","wife","a married woman; a man's partner in marriage","noun","4","95","3","",""
"wn30:00943837-v","express","give expression to","verb","7","95","3","",""
"wn30:03956922-n","plant","buildings for carrying on industrial labor","noun","5","95","3","",""
"wn30:01654628-v","construct","make by combining materials and parts","verb","9","95","3","",""
"wn30:00795720-n","project","any piece of work that is undertaken or attempted","noun","7","95","3","",""
"wn30:05029706-n","strength","the property of being physically or mentally strong","noun","8","95","3","",""
"wn30:00815686-v","reply","react verbally","verb","5","95","3","",""
"wn30:00028651-n","space","the unlimited expanse in which everything is located","noun","5","95","3","",""
"wn30:02727825-n","apparatus","equipment designed to serve a specific function","noun","9","95","3","",""
"wn30:00423971-v","emerge","come out into view, as from concealment","verb","6","95","3","",""
"wn30:08182379-n","crowd","a large number of things or people considered together","noun","5","95","3","",""
"wn30:09623038-n","leader","a person who rules or guides or inspires others","noun","6","95","3","",""
"wn30:01963942-v","leap","move forward by leaps and bounds","verb","4","95","3","",""
"wn30:00107416-r","recently","in the recent past","adverb","8","95","3","",""
"wn30:00020759-r","never","not ever; at no time in the past or future","adverb","5","95","3","",""
"wn30:02217266-v","finance","obtain or provide money for","verb","7","95","3","",""
"wn30:13754293-n","increase","a quantity that is added","noun","8","95","3","",""
"wn30:01651293-v","undertake","enter upon an activity or enterprise","verb","9","95","3","",""
"wn30:15159583-n","date","the specified day of the month","noun","4","95","3","",""
"wn30:02547317-a","wet","covered or soaked with a liquid such as water","adjective","3","95","3","",""
"wn30:00073897-r","primarily","for the most part","adverb","9","95","3","",""
"wn30:01496021-a","minimum","the least possible","adjective","7","95","3","",""
"wn30:02038357-v","lean","to incline or bend from a vertical position","verb","4","95","3","",""
"wn30:00728617-v","realize","be fully aware or cognizant of","verb","7","95","3","",""
"wn30:15165289-n","morning","the time period between dawn and noon","noun","7","95","3","",""
"wn30:06601327-n","meaning","the message that is intended or expressed or signified","noun","7","95","3","",""
"wn30:02210119-v","receive","get something; come into possession of","verb","7","95","3","",""
"wn30:02526085-v","achieve","to gain with effort","verb","7","95","3","",""
"wn30:08213817-n","regiment","army unit smaller than a division","noun","8","95","3","",""
"wn30:02427103-v","establish","set up or found","verb","9","95","3","",""
"wn30:02016523-v","enter","to come or go into","verb","5","95","3","",""
"wn30:00033922-r","presently","in the near future","adverb","9","95","3","",""
"wn30:01495725-a","maximum","the greatest or most complete or best possible","adjective","7","95","3","",""
"wn30:00339934-v","occur","come to pass","verb","5","95","3","",""
"wn30:00803325-v","authorize","grant authorization or clearance for","verb","9","95","3","",""
"wn30:00006105-r","largely","in large part; mainly or chiefly","adverb","7","95","3","",""
"wn30:00149583-v","become","enter or assume a certain state or condition","verb","6","95","3","",""
"wn30:08641113-n","neighborhood","a surrounding or nearby region","noun","12","95","3","",""
"wn30:05850624-n","aspect","a distinct feature or element in a problem","noun","6","95","3","",""
"wn30:00345761-v","begin","take the first step or steps in carrying out an action","verb","5","95","3","",""
"wn30:02443849-v","operate","direct or control; projects, businesses, etc","verb","7","95","3","",""
"wn30:00637259-v","compute","make a mathematical calculation or computation","verb","7","95","3","",""
"wn30:01935233-v","head","to go or travel towards","verb","4","95","3","",""
"wn30:10624074-n","son","a male human offspring","noun","3","95","3","",""
"wn30:00033922-r","soon","in the near future","adverb","4","95","3","",""
"wn30:13920835-n","condition","a state at a particular time","noun","9","95","3","",""
"wn30:00158309-r","exactly","indicating exactness or preciseness","adverb","7","95","3","",""
"wn30:01968569-v","rise","move upward","verb","4","95","3","",""
"wn30:01210854-a","high","greater than normal in degree or intensity or amount","adjective","4","95","3","",""
"wn30:02009433-v","leave","go away from a place","verb","5","95","3","",""
"wn30:02150510-v","watch","look attentively","verb","5","95","3","",""
"wn30:02727039-v","range","change or be different within limits","verb","5","95","3","",""
"wn30:09270894-n","earth","the 3rd planet from the sun; the planet we live on","noun","5","95","3","",""
"wn30:14956325-n","mud","water soaked soil; soft wet earth","noun","3","95","3","",""
"wn30:09397391-n","pond","a small lake","noun","4","95","3","",""
"wn30:06303888-n","term","a word or expression used for some particular thing","noun","4","95","3","",""
"wn30:04928903-n","way","how something is done or how it happens","noun","3","95","3","",""
"wn30:00101323-r","far","to a considerable degree; very much","adverb","3","95","3","",""
"wn30:00075161-r","back","in or to or toward a former location","adverb","4","95","3","",""
"wn30:00118869-r","once","on one occasion","adverb","4","95","3","",""
"wn30:08397255-n","troops","soldiers collectively","noun","6","95","3","",""
"wn30:02743261-a","human","characteristic of humanity","adjective","5","95","3","",""
"wn30:08565701-n","edge","the boundary of a surface","noun","4","95","3","",""
"wn30:02023107-v","meet","come together","verb","4","95","3","",""
"wn30:00797430-v","refuse","show unwillingness towards","verb","6","95","3","",""
"wn30:05935060-n","memory","something that is remembered","noun","6","95","3","",""
"wn30:05602835-n","cheek","either side of the face below the eyes","noun","5","95","3","",""
"wn30:01871979-v","push","move with force, ""He pushed the table into a corner""","verb","4","95","3","",""
"wn30:15169873-n","week","any period of seven consecutive days","noun","4","95","3","",""
"wn30:08401248-n","branch","a division of some larger or more complex organization","noun","6","94","3","",""
"wn30:01041415-v","wave","signal with the hands or nod","verb","4","94","3","",""
"wn30:00409709-r","close","near in time or place or relationship","adverb","5","94","3","",""
"wn30:01453433-v","drag","pull, as against a resistance","verb","4","94","3","",""
"wn30:10609325-n","slave","a person who is owned by someone","noun","5","94","3","",""
"wn30:02607830-v","stretch","occupy a large, elongated area","verb","7","94","3","",""
"wn30:00392690-r","longer","for more time","adverb","6","94","3","",""
"wn30:05784831-n","consideration","the process of giving careful thought to something","noun","13","94","3","",""
"wn30:00665886-v","confirm","establish or strengthen as with new evidence or facts","verb","7","94","3","",""
"wn30:00059854-r","increasingly","advancing in amount or intensity","adverb","12","94","3","",""
"wn30:00122661-n","shooting","the act of firing a projectile","noun","8","94","3","",""
"wn30:00690614-v","view","deem to be","verb","4","94","3","",""
"wn30:10231515-n","king","a male sovereign; ruler of a kingdom","noun","4","94","3","",""
"wn30:00896803-v","justify","show to be reasonable or provide adequate ground for","verb","7","94","3","",""
"wn30:02669477-v","exceed","be greater in scope or size than some standard","verb","6","94","3","",""
"wn30:05892651-n","requirement","required activity","noun","11","94","3","",""
"wn30:00026385-v","relax","become less tense, rest, or take one's ease","verb","5","94","3","",""
"wn30:00520257-n","show","the act of publicly exhibiting or entertaining","noun","4","94","3","",""
"wn30:00160440-r","closely","in a close relation or position in time or space","adverb","7","94","3","",""
"wn30:13777344-n","supply","an amount of something available for use","noun","6","94","3","",""
"wn30:01834304-a","practical","concerned with actual use or practice","adjective","9","94","3","",""
"wn30:00351638-n","reduction","the act of decreasing or reducing something","noun","9","94","3","",""
"wn30:00929839-v","imply","express or state indirectly","verb","5","94","3","",""
"wn30:00066781-r","ahead","at or in the front","adverb","5","94","3","",""
"wn30:00687295-v","doubt","consider unlikely or have doubts about","verb","5","94","3","",""
"wn30:02560164-v","enforce","ensure observance of laws and rules","verb","7","94","3","",""
"wn30:00817680-n","protection","the activity of protecting someone or something","noun","10","94","3","",""
"wn30:02467662-v","divide","separate into parts or portions","verb","6","94","3","",""
"wn30:06671484-n","advice","a proposal for an appropriate course of action","noun","6","94","3","",""
"wn30:00181664-v","clear","rid of obstructions","verb","5","94","3","",""
"wn30:00688377-v","trust","have confidence or faith in","verb","5","94","3","",""
"wn30:01044533-v","mutter","talk indistinctly; usually in a low voice","verb","6","94","3","",""
"wn30:02447370-v","entitle","give the right to","verb","7","94","3","",""
"wn30:00286008-v","stain","color with a liquid dye or tint","verb","5","94","3","",""
"wn30:09879144-n","cop","uncomplimentary terms for a policeman","noun","3","94","3","",""
"wn30:02324026-v","borrow","get temporarily","verb","6","94","3","",""
"wn30:02748635-a","industrial","of or relating to or resulting from industry","adjective","10","94","3","",""
"wn30:02904075-a","administrative","of or relating to or responsible for administration","adjective","14","94","3","",""
"wn30:00053274-r","swiftly","in a swift manner","adverb","7","94","3","",""
"wn30:00196203-r","properly","in the right manner","adverb","8","94","3","",""
"wn30:08544419-n","corner","a place off to the side of an area","noun","6","94","3","",""
"wn30:08337324-n","agency","an administrative unit of government","noun","6","94","3","",""
"wn30:00113818-a","angry","feeling or showing anger","adjective","5","94","3","",""
"wn30:02874876-a","communist","relating to or marked by communism","adjective","9","94","3","",""
"wn30:02400760-v","elect","select by a vote for an office or membership","verb","5","94","3","",""
"wn30:08238463-n","grade","a body of students who are taught together","noun","5","94","3","",""
"wn30:02826701-a","electrical","relating to or concerned with electricity","adjective","10","94","3","",""
"wn30:00005567-r","automatically","in a reflex manner","adverb","13","94","3","",""
"wn30:00035385-r","rarely","not often","adverb","6","94","3","",""
"wn30:01024190-v","refer","make reference to","verb","5","94","3","",""
"wn30:08213978-n","brigade","army unit smaller than a division","noun","7","94","3","",""
"wn30:02281093-v","store","keep or lay aside for future use","verb","5","94","3","",""
"wn30:00795720-n","task","any piece of work that is undertaken or attempted","noun","4","94","3","",""
"wn30:00442361-a","far","located at a great distance in time or space or degree","adjective","3","94","3","",""
"wn30:13275288-n","expenditure","money paid out; an amount spent","noun","11","94","3","",""
"wn30:09433442-n","shore","the land along the edge of a body of water","noun","5","94","3","",""
"wn30:02716165-v","accompany","be present or associated with an event or entity","verb","9","94","3","",""
"wn30:14539268-n","security","the state of being free from danger or injury","noun","8","94","3","",""
"wn30:00712135-v","figure","judge to be probable","verb","6","94","3","",""
"wn30:00309021-a","careful","exercising caution or showing care or attention","adjective","7","94","3","",""
"wn30:15153787-n","years","a late time of life","noun","5","94","3","",""
"wn30:00976508-a","fast","acting or moving or capable of acting or moving quickly","adjective","4","94","3","",""
"wn30:02506546-v","compel","force somebody to do something","verb","6","94","3","",""
"wn30:02507464-v","bother","take the trouble to do something; concern oneself","verb","6","94","3","",""
"wn30:02561888-a","narrow","not wide","adjective","6","94","3","",""
"wn30:04850117-n","justice","the quality of being just or fair","noun","7","94","3","",""
"wn30:01837744-a","precise","sharply exact or accurate or delimited","adjective","7","94","3","",""
"wn30:00897564-v","address","speak to","verb","7","94","3","",""
"wn30:05868954-n","component","an abstract part of something","noun","9","94","3","",""
"wn30:01894649-v","dance","move in a graceful and rhythmical way","verb","5","94","3","",""
"wn30:00035718-r","fairly","to a moderately sufficient extent or degree","adverb","6","94","3","",""
"wn30:00165018-r","seriously","in a serious manner","adverb","9","94","3","",""
"wn30:00080039-r","below","in or to a place that is lower","adverb","5","94","3","",""
"wn30:02532595-v","experiment","to conduct a test or investigation","verb","10","94","3","",""
"wn30:03948459-n","pistol","a firearm that is held and fired with one hand","noun","6","94","3","",""
"wn30:01573515-v","tear","separate or cause to separate abruptly","verb","4","94","3","",""
"wn30:00014285-r","considerably","to a great extent or degree","adverb","12","94","3","",""
"wn30:00623151-v","interpret","make sense of; assign a meaning to","verb","9","94","3","",""
"wn30:07127006-n","laugh","the sound of laughing","noun","5","94","3","",""
"wn30:01743086-n","anaconda","large arboreal boa of tropical South America","noun","8","94","3","",""
"wn30:07985223-n","pair","a set of two similar things considered as a unit","noun","4","94","3","",""
"wn30:01152746-a","soft","yielding readily to pressure or weight","adjective","4","94","3","",""
"wn30:00749205-v","direct","command with authority","verb","6","94","3","",""
"wn30:10439851-n","player","a person who participates in or is skilled at some game","noun","6","94","3","",""
"wn30:00901103-v","introduce","cause to come to know personally","verb","9","94","3","",""
"wn30:08681777-n","trend","a general direction in which something tends to move","noun","5","94","3","",""
"wn30:07308889-n","instance","an occurrence of something","noun","8","94","3","",""
"wn30:14857021-n","effluent","water mixed with waste matter","noun","8","94","3","",""
"wn30:14776804-n","active","chemical agent capable of activity","noun","6","94","3","",""
"wn30:00594413-a","continuous","continuing in time or space without interruption","adjective","10","94","3","",""
"wn30:05169813-n","significance","the quality of being significant","noun","12","94","3","",""
"wn30:00066636-n","failure","an act that fails","noun","7","94","3","",""
"wn30:01481612-a","married","joined in matrimony","adjective","7","94","3","",""
"wn30:04928903-n","fashion","how something is done or how it happens","noun","7","94","3","",""
"wn30:08482700-n","rear","the back of a military formation or procession","noun","4","94","3","",""
"wn30:13761407-n","bit","a small piece or quantity of something","noun","3","94","3","",""
"wn30:02640440-v","hesitate","pause or hold back in uncertainty or unwillingness","verb","8","94","3","",""
"wn30:07997703-n","category","a collection of things sharing a common attribute","noun","8","94","3","",""
"wn30:05687338-n","trouble","a source of difficulty","noun","7","94","3","",""
"wn30:00678282-v","schedule","plan for an activity or event","verb","8","94","3","",""
"wn30:00913065-v","yell","utter a sudden loud cry","verb","4","94","3","",""
"wn30:01979901-v","land","reach or come to rest","verb","4","94","3","",""
"wn30:13381734-n","check","a written order directing a bank to pay money","noun","5","94","3","",""
